Title, Author
Leonia Martin (miękka), Dominique Menvielle
Trzydzieści kopert (miękka), Ewa Mielczarek
Miłośnicy Melpomeny (miękka), PRACA ZBIOROWA
Malbork Zamek z bliska i z daleka Mapa (miękka), PRACA ZBIOROWA
Sopot. Kolorowy portret miasta (miękka), Krzysztof Wiśniewski, Joanna Myjak
Gringo wśród dzikich plemion (pocket), Wojciech Cejrowski
Zgodnie z prawem przeciwko obywatelom, Jacek Barcikowski
Gringo wśród dzikich plemion (pocket), Wojciech Cejrowski
Jak oswoić globalne ocieplenie (miękka), Tomasz J. dr Szczęsny
Gdańsk Widok miasta i jego zabytki Mapa (miękka), PRACA ZBIOROWA
Podobne, a tak różne życie... (miękka), PRACA ZBIOROWA
59 kluczy do zrozumienia zagadki życia (miękka), Jan Kubań
Berlin Plan miasta Panorama (miękka), PRACA ZBIOROWA
Dziecko z darów (miękka), Justyna Bargielska
Na skrzydłach Aniołów (miękka), Halina Socha
Przygody Piotrusia na pirackiej wyspie skarbów (miękka), Zbigniew Szymański
Ścigana (pocket), Tess Gerritsen
Zespół takotsubo (twarda), PRACA ZBIOROWA
Naruszenie miru domowego (miękka), Marek Mozgawa
Fałszywy krok (pocket), Alex Kava
Polska (twarda), Christian (zdjęcia) Parma, Wojciech (tekst) Giełżyński
Macierzyństwo (twarda), Bartłomiej Oszkinis
Tuż obok życia (miękka), Anna Pawlikowska
Suchą szosa szła szczypawka (miękka), Krzysztof Kiełbasiński
Moon machine (miękka), Adam Zdrodowski
Tamta dziewczyna (pocket), Erica Spindler
Listy Ojca Pio (twarda), Ojciec Pio, Joanna Piestrak
Chrząszcz brzmi w trzcinie (miękka), Krzysztof Kiełbasiński
Psi Patrol. Naklejaj raz po raz. Kto odszuka żółwie? (miękka), PRACA ZBIOROWA
Ziarna, pestki, orzechy, czyli te niesamowite nasiona (twarda), Szymon Jastrzębowski
Dojrzałość wzruszeń (miękka), Alicja Masłowska-Burnos
Pomiędzy (miękka), Dariusz Pado
Metamorfoza (miękka), Jakub Szczepański
Pidżamersi. Najklejaj raz po raz. Kto ocali świat? (miękka), PRACA ZBIOROWA
Dragons. Naklejej raz po raz. Na koniec świata (miękka), PRACA ZBIOROWA
Literatura & etnologia (miękka), Eugenia Prokop-Janiec
Świnka Peppa. Skarby ze starychu (twarda), PRACA ZBIOROWA
Jacek Cygan (miękka), Tadeusz Nyczek
